Company,Industry,Decision Maker (Role),LinkedIn/Website,Why They Need It,Outreach Approach
JNTUH Hyderabad (Training & Placement Cell),Higher Education,Training & Placement Officer,jntuh.ac.in,"Hundreds of students need individualized skill-gap feedback before placement drives; current process is manual","Warm intro via alumni network + email offering free pilot batch report"
Government Polytechnic for Women Secunderabad,Higher Education (Diploma),Placement Coordinator,telanganapolytechnics.org,"Diploma students need targeted upskilling roadmaps to compete for entry-level tech roles","Alumni email (author's own alma mater) + LinkedIn message"
Osmania University College of Engineering,Higher Education,Training & Placement Officer,osmania.ac.in,"Large student body needs scalable, consistent resume/JD feedback","Cold email to placement cell with sample report attached"
CBIT Hyderabad,Higher Education,Placement Cell Head,cbit.ac.in,"Strong CS program; students need help targeting specific company JDs","LinkedIn outreach to placement officer"
VNR VJIET Hyderabad,Higher Education,Training & Placement Officer,vnrvjiet.ac.in,"Placement cell wants measurable 'readiness scores' for management reporting","Email + offer of free pilot for one batch"
MLR Institute of Technology,Higher Education,Placement Coordinator,mlrinstitutions.ac.in,"Tier-2 college students need extra support closing skill gaps vs top-tier peers","Cold email with case study"
Sreenidhi Institute of Science & Technology,Higher Education,Training & Placement Officer,sreenidhi.edu.in,"Active placement drives; needs faster resume screening pipeline","LinkedIn + email combo outreach"
Vignan Institute of Technology & Science,Higher Education,Placement Officer,vignanits.ac.in,"Growing tech placement numbers; needs consistent feedback tooling","Cold email"
Anurag University,Higher Education,Training & Placement Officer,anurag.edu.in,"Large student intake; wants to differentiate placement outcomes","Email outreach + demo link"
Gokaraju Rangaraju Institute of Engineering,Higher Education,Placement Cell,griet.ac.in,"Strong ECE/CS students need software-role-specific gap analysis","LinkedIn message to TPO"
Malla Reddy Engineering College,Higher Education,Training & Placement Officer,mrec.ac.in,"High-volume placements; needs scalable pre-screening tool","Cold email"
Vasavi College of Engineering,Higher Education,Placement Coordinator,vce.ac.in,"Reputed college; wants premium tools to maintain placement record","Warm intro via LinkedIn alumni group"
CMR College of Engineering & Technology,Higher Education,Training & Placement Officer,cmrcet.ac.in,"Needs to improve placement percentage vs competing colleges","Cold email with ROI pitch"
Mahindra University Hyderabad,Higher Education,Career Services Head,mahindrauniversity.edu.in,"Newer university investing in strong career services differentiation","LinkedIn outreach to career services team"
Woxsen University,Higher Education,Career Services / Placement Head,woxsen.edu.in,"Positions itself on employability outcomes; fits premium tool positioning","Email to career services department"
NxtWave (CCBP 4.0),Ed-tech / Bootcamp,Head of Career Services,ccbp.in,"Bootcamp promises job outcomes; needs scalable per-student gap analysis","LinkedIn message to career services lead"
Newton School,Ed-tech / Bootcamp,Placement Team Lead,newtonschool.co,"Outcome-based bootcamp; tool fits directly into their placement pipeline","Cold email with pilot offer"
Masai School,Ed-tech / Bootcamp,Career Services Manager,masaischool.com,"Income-share-agreement model depends on placement speed; tool reduces time-to-placement","LinkedIn outreach"
Scaler,Ed-tech / Bootcamp,Career Coaching Lead,scaler.com,"Provides 1:1 career coaching at scale; tool can augment coach capacity","Email to career coaching team"
Coding Ninjas,Ed-tech / Bootcamp,Placement Cell Manager,codingninjas.com,"Large learner base needs consistent, scalable feedback before interviews","Cold email"
Almabetter,Ed-tech / Bootcamp,Career Services Head,almabetter.com,"Career transition bootcamp; skill-gap clarity is core to their value prop","LinkedIn message"
Pesto Tech,Ed-tech / Bootcamp,Founder / Career Team,pesto.tech,"Small team, would value an AI tool to scale personalized feedback without more hires","Founder-to-founder cold email"
Internshala,Ed-tech / Career Platform,Product/Career Services Lead,internshala.com,"Platform serving students job-readiness content; potential integration partner","LinkedIn message proposing partnership pilot"
Unstop (formerly Dare2Compete),Ed-tech / Career Platform,Partnerships Lead,unstop.com,"Hosts competitions & hiring drives for students; natural distribution partner","Partnership pitch email"
TeamLease Services,HR / Staffing,Business Development Manager,teamlease.com,"Staffing firm placing high volumes of candidates; needs fast pre-screening","Cold email to BD team"
Quess Corp,HR / Staffing,Talent Solutions Manager,quesscorp.com,"Large-scale staffing; tool speeds up candidate-JD matching","LinkedIn InMail to talent solutions lead"
Randstad India,HR / Staffing,Recruitment Manager,randstad.in,"Recruiters need quick candidate fit scoring against client JDs","Cold email with API/bulk-use pitch"
ManpowerGroup India,HR / Staffing,Branch Recruitment Lead,manpowergroup.co.in,"High-volume placements; tool reduces manual resume screening time","LinkedIn outreach"
Naukri.com (Info Edge),Recruitment Platform,Product Partnerships Lead,naukri.com,"Job platform could offer skill-gap analysis as a value-added feature","Partnership proposal email"
Foundit (formerly Monster India),Recruitment Platform,Product Lead,foundit.in,"Could integrate as a premium candidate feature","Partnership pitch"
Freshersworld,Recruitment Platform (Freshers),Business Head,freshersworld.com,"Platform specifically for freshers — exact target audience overlap","Partnership/integration email"
LetsIntern,Career Platform,Founder,letsintern.com,"Small platform, open to added-value tools for their user base","Founder-to-founder email"
Hirect,Recruitment Platform (Startup hiring),Growth Lead,hirect.in,"Startup-focused hiring platform; candidates need fast fit-checks","Cold email"
Career Launcher,Test Prep & Career Coaching,Center Director,careerlauncher.com,"Career coaching centers can bundle AI reports into their existing paid programs","Email to regional center director"
T.I.M.E. (Triumphant Institute),Test Prep & Career Coaching,Center Head,time4education.com,"Coaching institute expanding into placement support services","Cold email"
IMS Learning Resources,Test Prep & Career Coaching,Career Services Head,imsindia.com,"Offers placement assistance add-ons to paid students","LinkedIn outreach"
Freelance Resume Writers (India, LinkedIn niche),Independent Career Coaching,Independent Career Coach,"LinkedIn search: 'resume writer India'","Coaches want a data-backed starting point for every client session","Direct LinkedIn DM offering free trial account"
Leverage Edu,Ed-tech / Career Counselling,Career Counselling Lead,leverageedu.com,"Counsels students on career paths; tool adds a data layer to advice","Email to counselling team lead"
Suvidha Foundation (NGO skilling),NGO / Skilling,Program Manager,suvidhafoundation.org,"NGO upskilling underprivileged youth needs low-cost, scalable feedback tools","Email pitch with social-impact angle + free/discounted tier"
Pratham (Skilling vertical),NGO / Skilling,Program Director,pratham.org,"Large-scale youth employability programs; tool fits directly into curriculum","Partnership proposal email"
Rocket Learning / Skill India partners,Government-linked Skilling,Regional Program Coordinator,skillindia.gov.in,"Government skilling programs need measurable employability outcomes","Formal partnership proposal via program coordinator"
Infosys Springboard,Corporate L&D / CSR,L&D Program Manager,infosys.com/springboard,"Corporate upskilling CSR initiative; tool could plug into their learner journey","Email to Springboard program team"
TCS iON Career Edge,Corporate L&D,Program Manager,tcsion.com,"Runs employability programs for students; natural extension of their offering","Partnership pitch email"
